房屋名称,价格,面积,朝向,房型,行政区,板块,小区,详细地址,经度,纬度
整租·广电大楼1室0厅南,7000,31,南,1室0厅1卫,静安,静安寺,广电大楼,上海市静安区静安寺广电大楼,121.447496,31.221753
整租·常德路430号1室1厅南/北,5600,16,南北,1室1厅1卫,静安,南京西路,常德路430号,上海市静安区南京西路常德路430号,121.454398,31.23053
整租·君悦静安1室1厅南,7000,55,南,1室1厅1卫,静安,曹家渡,君悦静安,上海市静安区曹家渡君悦静安,121.444049,31.236724
整租·康定路991号2室1厅南,6300,50,南,2室1厅1卫,静安,曹家渡,康定路991号,上海市静安区曹家渡康定路991号,121.446176,31.236899
整租·静安晶华园1室1厅东南,8800,59,东南,1室1厅1卫,静安,江宁路,静安晶华园,上海市静安区江宁路静安晶华园,121.450927,31.245916
整租·茂名公寓1室1厅南,7200,36,南,1室1厅1卫,静安,南京西路,茂名公寓,上海市静安区南京西路茂名公寓,121.465816,31.235204
整租·马克思公寓1室1厅西北,11000,66,西北,1室1厅1卫,静安,南京西路,马克思公寓,上海市静安区南京西路马克思公寓,121.458775,31.235379
整租·愚园路488弄1室1厅南,7500,45,南,1室1厅1卫,静安,静安寺,愚园路488弄,上海市静安区静安寺愚园路488弄,121.445772,31.22871
整租·骏豪国际1室1厅南,9800,59,南,1室1厅1卫,静安,南京西路,骏豪国际,上海市静安区南京西路骏豪国际,121.52238,30.826457
整租·又一村(静安)2室1厅南,8000,66,南,2室1厅1卫,静安,江宁路,又一村(静安),上海市静安区江宁路又一村(静安),121.452082,31.235936
整租·君悦静安1室1厅南,7360,49,南,1室1厅1卫,静安,曹家渡,君悦静安,上海市静安区曹家渡君悦静安,121.444049,31.236724
整租·国际丽都城2室2厅南,16000,98,南,2室2厅1卫,静安,南京西路,国际丽都城,上海市静安区南京西路国际丽都城,121.465945,31.239638
整租·中凯城市之光(静安)1室2厅南,12200,62,南,1室2厅1卫,静安,南京西路,中凯城市之光(静安),上海市静安区南京西路中凯城市之光(静安),121.471878,31.232799
整租·国际丽都城2室2厅南/北,17000,128,南北,2室2厅2卫,静安,南京西路,国际丽都城,上海市静安区南京西路国际丽都城,121.465945,31.239638
整租·共康四村1室1厅南,3200,44,南,1室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
整租·闻喜小区2室1厅南,4300,48,南,2室1厅1卫,静安,彭浦,闻喜小区,上海市静安区彭浦闻喜小区,121.453365,31.312576
整租·中山北路831弄1室0厅南,4300,35,南,1室0厅1卫,静安,大宁,中山北路831弄,上海市静安区大宁中山北路831弄,121.467534,31.268214
整租·青云路650弄1室0厅南,3200,30,南,1室0厅1卫,静安,西藏北路,青云路650弄,上海市静安区西藏北路青云路650弄,121.473749,31.267134
整租·共康三村2室0厅南/北,3500,44,南北,2室0厅1卫,静安,彭浦,共康三村,上海市静安区彭浦共康三村,121.442443,31.320145
整租·景凤小区1室1厅南,3100,45,南,1室1厅1卫,静安,彭浦,景凤小区,上海市静安区彭浦景凤小区,121.464164,31.326493
整租·驰骋新苑2室1厅南/北,3900,50,南北,2室1厅1卫,静安,彭浦,驰骋新苑,上海市静安区彭浦驰骋新苑,121.469049,31.325519
整租·大宁新村1室0厅南,3200,34,南,1室0厅1卫,静安,大宁,大宁新村,上海市静安区大宁大宁新村,121.461252,31.283868
整租·临汾花园2室1厅南,4200,70,南,2室1厅1卫,静安,彭浦,临汾花园,上海市静安区彭浦临汾花园,121.471967,31.313053
整租·三泉路424弄1室0厅南,3200,42,南,1室0厅1卫,静安,彭浦,三泉路424弄,上海市静安区彭浦三泉路424弄,121.448673,31.314465
整租·共和新路970弄1室1厅南,3800,46,南,1室1厅1卫,静安,不夜城,共和新路970弄,上海市静安区不夜城共和新路970弄,121.468438,31.265572
整租·共康四村1室1厅南,3000,38,南,1室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
整租·共康四村1室1厅南,3000,38,南,1室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
整租·闻喜路251弄1室1厅南,3000,38,南,1室1厅1卫,静安,彭浦,闻喜路251弄,上海市静安区彭浦闻喜路251弄,121.466778,31.312637
整租·彭顺小区1室1厅南,3600,41,南,1室1厅1卫,静安,彭浦,彭顺小区,上海市静安区彭浦彭顺小区,121.460139,31.312923
整租·延长小区(闸北)1室1厅南,3600,40,南,1室1厅1卫,静安,大宁,延长小区(闸北),上海市静安区大宁延长小区(闸北),121.462016,31.275402
整租·新丰小区1室1厅西北,4000,30,西北,1室1厅1卫,静安,江宁路,新丰小区,上海市静安区江宁路新丰小区,121.446313,31.243282
整租·彭顺小区1室1厅南,3600,41,南,1室1厅1卫,静安,彭浦,彭顺小区,上海市静安区彭浦彭顺小区,121.460139,31.312923
整租·大宁路660弄1室1厅南,3500,28,南,1室1厅1卫,静安,大宁,大宁路660弄,上海市静安区大宁大宁路660弄,121.449785,31.282174
整租·闻喜路251弄1室1厅南,3000,38,南,1室1厅1卫,静安,彭浦,闻喜路251弄,上海市静安区彭浦闻喜路251弄,121.466778,31.312637
整租·共康四村1室1厅南,3000,38,南,1室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
整租·共康四村1室1厅南,3000,38,南,1室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
整租·沪金大楼1室1厅南,3500,15,南,1室1厅0卫,静安,西藏北路,沪金大楼,上海市静安区西藏北路沪金大楼,121.476485,31.251929
整租·金家巷西弄1室0厅西/西北,3800,10,西西北,1室0厅1卫,静安,曹家渡,金家巷西弄,上海市静安区曹家渡金家巷西弄,121.446481,31.233099
整租·延长小区(闸北)1室1厅南,3600,40,南,1室1厅1卫,静安,大宁,延长小区(闸北),上海市静安区大宁延长小区(闸北),121.462016,31.275402
整租·平顺小区2室0厅南,4000,54,南,2室0厅1卫,静安,彭浦,平顺小区,上海市静安区彭浦平顺小区,121.460352,31.318555
整租·恒安小区2室1厅东南,3500,55,东南,2室1厅1卫,静安,彭浦,恒安小区,上海市静安区彭浦恒安小区,121.468261,31.315805
整租·保平小区2室1厅南,4300,53,南,2室1厅1卫,静安,彭浦,保平小区,上海市静安区彭浦保平小区,121.458039,31.321048
整租·大宁路660弄1室1厅南/北,4000,42,南北,1室1厅1卫,静安,大宁,大宁路660弄,上海市静安区大宁大宁路660弄,121.449785,31.282174
整租·北宝兴路122号1室1厅南,3800,36,南,1室1厅1卫,静安,闸北公园,北宝兴路122号,上海市静安区闸北公园北宝兴路122号,121.468922,31.282236
整租·平顺路721弄1室1厅南,4200,40,南,1室1厅1卫,静安,彭浦,平顺路721弄,上海市静安区彭浦平顺路721弄,121.457854,31.323629
整租·永和二村1室1厅南,3000,31,南,1室1厅1卫,静安,永和,永和二村,上海市静安区永和永和二村,121.435974,31.298537
整租·岭南路100弄1室1厅南,3800,38,南,1室1厅1卫,静安,彭浦,岭南路100弄,上海市静安区彭浦岭南路100弄,121.462976,31.31296
整租·共康四村1室1厅南,3300,38,南,1室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
整租·共康四村2室1厅南,4300,63,南,2室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
整租·岭南路100弄2室0厅南,4000,55,南,2室0厅1卫,静安,彭浦,岭南路100弄,上海市静安区彭浦岭南路100弄,121.462976,31.31296
整租·和新小区1室1厅南,3700,34,南,1室1厅1卫,静安,彭浦,和新小区,上海市静安区彭浦和新小区,121.458187,31.316565
整租·临汾路1565弄1室1厅南,3500,50,南,1室1厅1卫,静安,彭浦,临汾路1565弄,上海市静安区彭浦临汾路1565弄,121.443824,31.315901
整租·景凤路280弄1室1厅南,3500,43,南,1室1厅1卫,静安,彭浦,景凤路280弄,上海市静安区彭浦景凤路280弄,121.468189,31.326887
整租·洛川中路1100弄1室0厅南,3800,31,南,1室0厅1卫,静安,大宁,洛川中路1100弄,上海市静安区大宁洛川中路1100弄,121.456372,31.269925
整租·三义坊1室0厅南,4300,39,南,1室0厅1卫,静安,静安寺,三义坊,上海市静安区静安寺三义坊,121.448824,31.232918
整租·西宝兴路922弄1室1厅南,3200,29,南,1室1厅1卫,静安,闸北公园,西宝兴路922弄,上海市静安区闸北公园西宝兴路922弄,121.474104,31.27561
整租·远中风华园(公寓)1室0厅南,1000,43,南,1室0厅0卫,静安,南京西路,远中风华园(公寓),上海市静安区南京西路远中风华园(公寓),121.462004,31.240614
整租·三泉路424弄1室1厅南,3600,42,南,1室1厅1卫,静安,彭浦,三泉路424弄,上海市静安区彭浦三泉路424弄,121.448673,31.314465
整租·国际丽都城1室0厅南,1500,30,南,1室0厅0卫,静安,南京西路,国际丽都城,上海市静安区南京西路国际丽都城,121.465945,31.239638
整租·华业小区1室1厅南,4300,21,南,1室1厅1卫,静安,南京西路,华业小区,上海市静安区南京西路华业小区,121.461448,31.232254
整租·西宝兴路922弄1室1厅南,3200,29,南,1室1厅1卫,静安,闸北公园,西宝兴路922弄,上海市静安区闸北公园西宝兴路922弄,121.474104,31.27561
整租·远中风华园(公寓)1室0厅南,1000,43,南,1室0厅0卫,静安,南京西路,远中风华园(公寓),上海市静安区南京西路远中风华园(公寓),121.462004,31.240614
整租·洛川中路1100弄1室0厅南,3800,31,南,1室0厅1卫,静安,大宁,洛川中路1100弄,上海市静安区大宁洛川中路1100弄,121.456372,31.269925
整租·华业小区1室1厅南,4300,21,南,1室1厅1卫,静安,南京西路,华业小区,上海市静安区南京西路华业小区,121.461448,31.232254
整租·蓝朝部落1室0厅东南,4100,25,东南,1室0厅1卫,静安,曹家渡,蓝朝部落,上海市静安区曹家渡蓝朝部落,121.435859,31.233645
整租·阳景小区1室0厅南,2900,33,南,1室0厅1卫,静安,彭浦,阳景小区,上海市静安区彭浦阳景小区,121.464343,31.324693
整租·经典茂名公寓1室0厅东/西/北,1400,64,东西北,1室0厅0卫,静安,南京西路,经典茂名公寓,上海市静安区南京西路经典茂名公寓,121.465816,31.235204
整租·永和二村1室0厅南,3300,31,南,1室0厅1卫,静安,永和,永和二村,上海市静安区永和永和二村,121.435974,31.298537
整租·阳曲路570弄2室0厅南/北,3500,43,南北,2室0厅1卫,静安,彭浦,阳曲路570弄,上海市静安区彭浦阳曲路570弄,121.466653,31.321601
整租·和新小区1室1厅南,3800,34,南,1室1厅1卫,静安,彭浦,和新小区,上海市静安区彭浦和新小区,121.458187,31.316565
整租·保德路241弄2室0厅南,4000,58,南,2室0厅1卫,静安,彭浦,保德路241弄,上海市静安区彭浦保德路241弄,121.470068,31.32332
整租·新悦坊2室1厅南,6500,76,南,2室1厅1卫,静安,永和,新悦坊,上海市静安区永和新悦坊,121.453006,31.308871
整租·粤秀苑2室1厅南,5800,90,南,2室1厅1卫,静安,大宁,粤秀苑,上海市静安区大宁粤秀苑,121.466427,31.295036
整租·洛川东路400弄1室0厅北,3500,30,北,1室0厅1卫,静安,闸北公园,洛川东路400弄,上海市静安区闸北公园洛川东路400弄,121.467338,31.27483
整租·广中西路818弄1室1厅南,4000,45,南,1室1厅1卫,静安,大宁,广中西路818弄,上海市静安区大宁广中西路818弄,121.440986,31.280166
整租·共康四村2室1厅南/北,3800,58,南北,2室1厅1卫,静安,彭浦,共康四村,上海市静安区彭浦共康四村,121.442736,31.323921
